Categoria: Todas as categorias

Semana,United States Storm: (Mundo)
2019-12-29,13
2020-01-05,16
2020-01-12,16
2020-01-19,18
2020-01-26,10
2020-02-02,17
2020-02-09,16
2020-02-16,12
2020-02-23,17
2020-03-01,20
2020-03-08,16
2020-03-15,21
2020-03-22,17
2020-03-29,20
2020-04-05,21
2020-04-12,23
2020-04-19,30
2020-04-26,27
2020-05-03,30
2020-05-10,34
2020-05-17,24
2020-05-24,23
2020-05-31,26
2020-06-07,19
2020-06-14,15
2020-06-21,100
2020-06-28,55
2020-07-05,24
2020-07-12,13
2020-07-19,20
2020-07-26,21
2020-08-02,25
2020-08-09,20
2020-08-16,29
2020-08-23,44
2020-08-30,21
2020-09-06,19
2020-09-13,32
2020-09-20,29
2020-09-27,17
2020-10-04,23
2020-10-11,16
2020-10-18,17
2020-10-25,24
2020-11-01,27
2020-11-08,30
2020-11-15,18
2020-11-22,13
2020-11-29,13
2020-12-06,18
2020-12-13,25
2020-12-20,8
2020-12-27,9
2021-01-03,20
2021-01-10,19
2021-01-17,15
2021-01-24,19
2021-01-31,20
2021-02-07,21
2021-02-14,66
2021-02-21,23
2021-02-28,20
2021-03-07,20
2021-03-14,21
2021-03-21,18
2021-03-28,16
2021-04-04,18
2021-04-11,21
2021-04-18,24
2021-04-25,22
2021-05-02,23
2021-05-09,20
2021-05-16,18
2021-05-23,18
2021-05-30,19
2021-06-06,20
2021-06-13,17
2021-06-20,15
2021-06-27,13
2021-07-04,27
2021-07-11,16
2021-07-18,10
2021-07-25,10
2021-08-01,12
2021-08-08,20
2021-08-15,30
2021-08-22,31
2021-08-29,35
2021-09-05,17
2021-09-12,18
2021-09-19,17
2021-09-26,15
2021-10-03,15
2021-10-10,18
2021-10-17,17
2021-10-24,23
2021-10-31,13
2021-11-07,14
2021-11-14,21
2021-11-21,11
2021-11-28,15
